ISIN,name,ticker,fund_size,expense,replication,structure,strategy,currency,currency_risk,vol_1_year,inception,distribution_policy,distribution_frequency,domicile,provider,YTD,1m_return,3m_return,6m_return,1y_return,3y_return,5y_return,max_return,2022_return,2021_return,2020_return,2019_return,vol_1y,vol_3y,vol_5y,sharpe_1y,sharpe_3y,sharpe_5y,maxdrawdown_1y,maxdrawdown_3y,maxdrawdown_5y,maxdrawdown,description
IE00BG0J9Y53,iShares MSCI EMU UCITS ETF GBP Hedged (Dist),CEUG,  GBP 426 m   , 0.12% p.a. , Physical (Full replication) ,ETF,Long-only,GBP,Currency hedged, 15.64% ,30 May 2018,Distributing,Semi annually,Ireland,iShares,+14.15%,-2.84%,-1.75%,+2.00%,+16.51%,+39.41%,+37.18%,+35.72%,-11.15%,+22.90%,-0.61%,+27.10%,15.64%,17.52%,19.71%,1.06,0.67,0.33,-11.28%,-23.94%,-38.70%,-38.70%, The iShares MSCI EMU UCITS ETF GBP Hedged (Dist) seeks to track the MSCI EMU (GBP Hedged) index. The MSCI EMU (GBP Hedged) index tracks large and mid cap stocks from countries in the European Economic and Monetary Union. Currency hedged to British Pound (GBP).      The ETF's TER (total expense ratio) amounts to 0.12% p.a..  The iShares MSCI EMU UCITS ETF GBP Hedged (Dist) is the cheapest and largest ETF that tracks the MSCI EMU (GBP Hedged) index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Semi annually).            The iShares MSCI EMU UCITS ETF GBP Hedged (Dist) has 426m GBP assets under management.    The ETF was launched on 30 May 2018  and is domiciled in Ireland.  
LU1598689153,Lyxor MSCI EMU Small Cap (DR) UCITS ETF - Dist,MMS,  GBP 173 m   , 0.40% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 17.21% ,31 March 2005,Distributing,Semi annually,Luxembourg,Amundi ETF,+3.66%,-4.54%,-3.64%,-5.89%,+8.26%,+22.55%,+16.08%,+338.99%,-12.29%,+15.16%,+11.09%,+21.90%,17.21%,17.64%,18.47%,0.48,0.40,0.16,-11.78%,-26.69%,-32.99%,-53.74%, The Lyxor MSCI EMU Small Cap (DR) UCITS ETF - Dist seeks to track the MSCI EMU Small Cap index. The MSCI EMU Small Cap index tracks small cap stocks from countries in the European Economic and Monetary Union.      The ETF's TER (total expense ratio) amounts to 0.40% p.a..   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Semi annually).            The Lyxor MSCI EMU Small Cap (DR) UCITS ETF - Dist has 173m GBP assets under management.    The ETF was launched on 31 March 2005  and is domiciled in Luxembourg.  
FR0012399772,Lyxor EURO STOXX 50 (DR) UCITS ETF - Daily Hedged to GBP - Acc,MSEX,  GBP 46 m   , 0.20% p.a. , Physical (Full replication) ,ETF,Long-only,GBP,Currency hedged, 16.69% ,30 January 2015,Accumulating,-,France,Amundi ETF,+16.49%,-2.72%,-2.07%,+3.63%,+21.34%,+45.62%,+49.15%,+70.51%,-8.03%,+24.30%,-2.42%,+29.65%,16.69%,18.85%,20.91%,1.28,0.71,0.40,-10.88%,-22.72%,-39.08%,-39.08%, The Lyxor EURO STOXX 50 (DR) UCITS ETF - Daily Hedged to GBP - Acc seeks to track the EURO STOXX® 50 (GBP Hedged) index. The EURO STOXX® 50 (GBP Hedged) index tracks the largest 50 companies in the eurozone. Currency hedged to British Pound (GBP).      The ETF's TER (total expense ratio) amounts to 0.20% p.a..  The Lyxor EURO STOXX 50 (DR) UCITS ETF - Daily Hedged to GBP - Acc is the only ETF that tracks the EURO STOXX® 50 (GBP Hedged) index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor EURO STOXX 50 (DR) UCITS ETF - Daily Hedged to GBP - Acc is a small ETF with 46m GBP assets under management.    The ETF was launched on 30 January 2015  and is domiciled in France.  
LU1079842321,Ossiam Shiller Barclays CAPE® Europe Sector Value TR UCITS ETF 1C (EUR),LCPE,  GBP 156 m   , 0.65% p.a. , Synthetic (Swap-based) ,ETF,Long-only,EUR,Currency unhedged, 13.23% ,30 December 2014,Accumulating,-,Luxembourg,Ossiam,+3.29%,-4.13%,-5.38%,-3.03%,+2.86%,+34.48%,+40.41%,+90.82%,-1.37%,+17.43%,+8.64%,+17.32%,13.23%,14.77%,16.98%,0.22,0.70,0.41,-10.25%,-12.40%,-27.71%,-27.71%, The Ossiam Shiller Barclays CAPE® Europe Sector Value TR UCITS ETF 1C (EUR) seeks to track the Shiller Barclays CAPE® Europe Sector Value index. The Shiller Barclays CAPE® Europe Sector Value Strategy invests in European equity sectors that are considered undervalued based on their relative CAPE (cyclically adjusted price-to-earnings ratio).      The ETF's TER (total expense ratio) amounts to 0.65% p.a..  The Ossiam Shiller Barclays CAPE® Europe Sector Value TR UCITS ETF 1C (EUR) is the only ETF that tracks the Shiller Barclays CAPE® Europe Sector Value index.   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Ossiam Shiller Barclays CAPE® Europe Sector Value TR UCITS ETF 1C (EUR) has 156m GBP assets under management.    The ETF was launched on 30 December 2014  and is domiciled in Luxembourg.  
FR0007052782,Lyxor CAC 40 (DR) UCITS ETF - Dist,CACX,"  GBP 2,499 m   ", 0.25% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 20.53% ,13 December 2000,Distributing,Semi annually,France,Amundi ETF,+10.37%,-4.25%,-4.22%,-1.39%,+26.87%,+51.89%,+44.43%,+218.09%,-1.74%,+22.98%,+0.29%,+23.81%,20.53%,19.93%,21.13%,1.31,0.75,0.36,-8.22%,-19.80%,-33.29%,-54.95%," The Lyxor CAC 40 (DR) UCITS ETF - Dist seeks to track the CAC 40® index. The CAC 40® index tracks the largest and most traded French stocks listed on Euronext in Paris.      The ETF's TER (total expense ratio) amounts to 0.25% p.a..  The Lyxor CAC 40 (DR) UCITS ETF - Dist is the only ETF that tracks the CAC 40® index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Semi annually).            The Lyxor CAC 40 (DR) UCITS ETF - Dist is a very large ETF with 2,499m GBP assets under management.    The ETF was launched on 13 December 2000  and is domiciled in France.  "
FR0010010827,Lyxor FTSE MIB UCITS ETF - Dist,MIBX,  GBP 303 m   , 0.35% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 21.50% ,3 November 2003,Distributing,Semi annually,France,Amundi ETF,+18.27%,-3.72%,+1.73%,+3.93%,+42.12%,+51.12%,+51.59%,+96.75%,-4.23%,+18.15%,+1.43%,+26.26%,21.50%,21.35%,23.18%,1.96,0.69,0.37,-10.30%,-24.37%,-37.65%,-82.66%, The Lyxor FTSE MIB UCITS ETF - Dist seeks to track the FTSE MIB index. The FTSE MIB index tracks the 40 largest Italian companies.      The ETF's TER (total expense ratio) amounts to 0.35% p.a..  The Lyxor FTSE MIB UCITS ETF - Dist is the largest ETF that tracks the FTSE MIB index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Semi annually).            The Lyxor FTSE MIB UCITS ETF - Dist has 303m GBP assets under management.    The ETF was launched on 3 November 2003  and is domiciled in France.  
LU0908501215,Lyxor Core EURO STOXX 50 (DR) UCITS ETF Acc,MSED,  GBP 134 m   , 0.07% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 20.75% ,3 April 2013,Accumulating,-,Luxembourg,Amundi ETF,+11.19%,-4.19%,-3.93%,+0.00%,+29.92%,+35.56%,+36.79%,+130.95%,-3.93%,+15.94%,+2.81%,+22.55%,20.75%,20.32%,21.24%,1.44,0.53,0.30,-7.98%,-22.06%,-32.08%,-32.08%, The Lyxor Core EURO STOXX 50 (DR) UCITS ETF Acc seeks to track the EURO STOXX® 50 index. The EURO STOXX® 50 index tracks the 50 largest companies in the eurozone.      The ETF's TER (total expense ratio) amounts to 0.07% p.a..   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor Core EURO STOXX 50 (DR) UCITS ETF Acc has 134m GBP assets under management.    The ETF was launched on 3 April 2013  and is domiciled in Luxembourg.  
LU0292095535,Xtrackers EURO STOXX Quality Dividend UCITS ETF 1D,XD3E,  GBP 206 m   , 0.30% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 15.26% ,1 June 2007,Distributing,Annually,Luxembourg,Xtrackers,+9.04%,-3.02%,-1.65%,-0.32%,+15.86%,+21.51%,+11.87%,+33.16%,-5.16%,+11.52%,-4.18%,+15.05%,15.26%,15.74%,17.87%,1.04,0.43,0.13,-10.52%,-21.03%,-31.81%,-62.11%," The Xtrackers EURO STOXX Quality Dividend UCITS ETF 1D seeks to track the EURO STOXX® Quality Dividend 50 index. The EURO STOXX® Quality Dividend 50 index tracks the top 50 stocks in terms of quality (defined by a set of 3 different factors: 12-month trailing dividend yield, 12-month trailing payout ratio, and 3-year free cash flow yield growth rate) and dividend yield from the EURO STOXX® index.      The ETF's TER (total expense ratio) amounts to 0.30% p.a..  The Xtrackers EURO STOXX Quality Dividend UCITS ETF 1D is the only ETF that tracks the EURO STOXX® Quality Dividend 50 index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Annually).            The Xtrackers EURO STOXX Quality Dividend UCITS ETF 1D has 206m GBP assets under management.    The ETF was launched on 1 June 2007  and is domiciled in Luxembourg.  "
IE00B23D8X81,Invesco FTSE RAFI Europe UCITS ETF,PSRE,  GBP 6 m   , 0.39% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 14.64% ,19 November 2007,Distributing,Quarterly,Ireland,Invesco,+4.76%,-3.77%,-2.79%,-3.59%,+10.93%,+42.43%,+23.89%,+107.13%,+1.24%,+18.35%,-3.66%,+15.37%,14.64%,16.79%,19.30%,0.75,0.75,0.23,-9.56%,-16.06%,-33.35%,-49.56%," The Invesco FTSE RAFI Europe UCITS ETF seeks to track the FTSE RAFI Europe index. The FTSE RAFI Europe index tracks European stocks. The FTSE RAFI Index Series selects and weights index constituents using four fundamental factors, rather than market capitalisation. The factors are dividends, cash flows, sales and book value.      The ETF's TER (total expense ratio) amounts to 0.39% p.a..  The Invesco FTSE RAFI Europe UCITS ETF is the only ETF that tracks the FTSE RAFI Europe index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Quarterly).            The Invesco FTSE RAFI Europe UCITS ETF is a very small ETF with 6m GBP assets under management.    The ETF was launched on 19 November 2007  and is domiciled in Ireland.  "
LU1681043672,Amundi MSCI World UCITS ETF USD (C),CW8G,  GBP 58 m   , 0.38% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,USD,Currency unhedged, 17.65% ,18 April 2018,Accumulating,-,Luxembourg,Amundi ETF,+6.73%,-3.07%,+0.12%,+2.23%,+0.22%,+30.83%,+48.02%,+284.45%,-8.35%,+23.23%,+12.05%,+23.59%,17.65%,16.16%,18.49%,0.01,0.58,0.44,-9.05%,-15.58%,-26.41%,-26.41%, The Amundi MSCI World UCITS ETF USD (C) seeks to track the MSCI World index. The MSCI World index tracks stocks from 23 developed countries worldwide.      The ETF's TER (total expense ratio) amounts to 0.38% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi MSCI World UCITS ETF USD (C) is a small ETF with 58m GBP assets under management.    The ETF was launched on 18 April 2018  and is domiciled in Luxembourg.  
IE00B5M1WJ87,SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist),EUDV,  GBP 841 m   , 0.30% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 15.11% ,28 February 2012,Distributing,Semi annually,Ireland,SPDR ETF,+6.19%,-3.67%,-4.17%,-1.68%,+12.55%,+12.86%,+3.97%,+111.62%,-6.47%,+7.42%,-6.98%,+16.13%,15.11%,15.39%,17.52%,0.83,0.27,0.04,-10.11%,-21.97%,-32.08%,-32.08%, The SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist) seeks to track the S&P Euro High Yield Dividend Aristocrats index. The S&P Euro High Yield Dividend Aristocrats index tracks the eurozone companies whose dividends have risen in the last 10 consecutive years.      The ETF's TER (total expense ratio) amounts to 0.30% p.a..  The SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist) is the only ETF that tracks the S&P Euro High Yield Dividend Aristocrats index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Semi annually).            The SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist) is a large ETF with 841m GBP assets under management.    The ETF was launched on 28 February 2012  and is domiciled in Ireland.  
LU1681042948,Amundi MSCI USA UCITS ETF USD,CU2G,  GBP 123 m   , 0.28% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,USD,Currency unhedged, 21.09% ,18 April 2018,Accumulating,-,Luxembourg,Amundi ETF,+9.16%,-2.46%,+2.76%,+5.14%,-0.47%,+35.66%,+65.46%,+447.63%,-10.12%,+28.17%,+16.89%,+28.10%,21.09%,19.58%,22.46%,-0.02,0.55,0.47,-11.92%,-16.89%,-26.68%,-26.68%, The Amundi MSCI USA UCITS ETF USD seeks to track the MSCI USA index. The MSCI USA index tracks the leading stocks on the US market.      The ETF's TER (total expense ratio) amounts to 0.28% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi MSCI USA UCITS ETF USD has 123m GBP assets under management.    The ETF was launched on 18 April 2018  and is domiciled in Luxembourg.  
IE00B4K6B022,HSBC EURO STOXX 50 UCITS ETF EUR,H50E,  GBP 387 m   , 0.05% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 17.49% ,5 October 2009,Distributing,Semi annually,Ireland,HSBC ETF,+10.88%,-4.47%,-4.23%,-0.26%,+20.94%,+35.21%,+36.50%,+124.43%,-3.94%,+15.96%,+3.01%,+21.63%,17.49%,19.23%,20.68%,1.20,0.55,0.31,-7.97%,-22.06%,-32.06%,-34.74%, The HSBC EURO STOXX 50 UCITS ETF EUR seeks to track the EURO STOXX® 50 index. The EURO STOXX® 50 index tracks the 50 largest companies in the eurozone.      The ETF's TER (total expense ratio) amounts to 0.05% p.a..  The HSBC EURO STOXX 50 UCITS ETF EUR is the cheapest ETF that tracks the EURO STOXX® 50 index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Semi annually).            The HSBC EURO STOXX 50 UCITS ETF EUR has 387m GBP assets under management.    The ETF was launched on 5 October 2009  and is domiciled in Ireland.  
LU0599612842,Ossiam Europe ESG Machine Learning UCITS ETF 1C (EUR),LEMV,  GBP 35 m   , 0.65% p.a. , Physical (Full replication) ,ETF,Actively managed,EUR,Currency unhedged, 12.01% ,3 February 2012,Accumulating,-,Luxembourg,Ossiam,-2.64%,-5.14%,-7.61%,-6.22%,-5.87%,+3.81%,+11.84%,+108.63%,-10.02%,+15.66%,+6.54%,+12.81%,12.01%,12.71%,13.95%,-0.49,0.10,0.16,-11.80%,-17.99%,-24.01%,-24.01%," The Ossiam Europe ESG Machine Learning UCITS ETF 1C (EUR) is an actively managed ETF. The ETF tracks companies from Eurozone countries that are selected according to ESG criteria (environmental, social and corporate governance). Stock selection is based on a model that uses machine learning techniques.      The ETF's TER (total expense ratio) amounts to 0.65% p.a..  The Ossiam Europe ESG Machine Learning UCITS ETF 1C (EUR) is the only ETF that tracks the Ossiam Europe ESG Machine Learning index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Ossiam Europe ESG Machine Learning UCITS ETF 1C (EUR) is a small ETF with 35m GBP assets under management.    The ETF was launched on 3 February 2012  and is domiciled in Luxembourg.  "
IE00B8X9NY41,First Trust Eurozone AlphaDEX UCITS ETF Acc,FEUZ,  GBP 69 m   , 0.65% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 16.66% ,21 October 2014,Accumulating,-,Ireland,First Trust,+4.99%,-3.86%,-1.25%,-3.74%,+12.16%,+19.34%,+5.64%,+96.13%,-9.72%,+13.23%,+1.52%,+17.82%,16.66%,17.46%,19.50%,0.73,0.35,0.06,-10.14%,-23.07%,-36.67%,-36.67%, The First Trust Eurozone AlphaDEX UCITS ETF Acc seeks to track the Nasdaq AlphaDEX® Eurozone index. The Nasdaq AlphaDEX® Eurozone index tracks companies from the eurozone. Constituents are selected and weighted using the AlphaDex method. The main factors are Growth and Value.      The ETF's TER (total expense ratio) amounts to 0.65% p.a..  The First Trust Eurozone AlphaDEX UCITS ETF Acc is the cheapest and largest ETF that tracks the Nasdaq AlphaDEX® Eurozone index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are accumulated and reinvested in the ETF.            The First Trust Eurozone AlphaDEX UCITS ETF Acc is a small ETF with 69m GBP assets under management.    The ETF was launched on 21 October 2014  and is domiciled in Ireland.  
IE00BFNM3C07,iShares MSCI EMU ESG Screened UCITS ETF EUR (Dist),SMUD,  GBP 280 m   , 0.12% p.a. , Physical (Optimized sampling) ,ETF,Long-only,EUR,Currency unhedged, 17.06% ,19 October 2018,Distributing,Semi annually,Ireland,iShares,+9.11%,-4.46%,-3.76%,-1.51%,+16.48%,+28.73%,-,+40.52%,-8.28%,+14.26%,+6.73%,+19.31%,17.06%,18.11%,-,0.97,0.48,-,-9.30%,-22.55%,-,-30.82%," The iShares MSCI EMU ESG Screened UCITS ETF EUR (Dist) seeks to track the MSCI EMU ESG Screened index. The MSCI EMU ESG Screened index tracks companies that are part of the European Economic and Monetary Union. The index excludes companies that are involved in businesses related to thermal coal, controversial weapons, tobacco and other controversial industries.      The ETF's TER (total expense ratio) amounts to 0.12% p.a..  The iShares MSCI EMU ESG Screened UCITS ETF EUR (Dist) is the cheapest ETF that tracks the MSCI EMU ESG Screened index.   The ETF replicates the performance of the underlying index by sampling technique (buying a selection of the most relevant index constituents).    The dividends in the ETF  are distributed to the investors (Semi annually).            The iShares MSCI EMU ESG Screened UCITS ETF EUR (Dist) has 280m GBP assets under management.    The ETF was launched on 19 October 2018  and is domiciled in Ireland.  "
IE00BF2FL590,First Trust Eurozone AlphaDEX UCITS ETF B Dist,FEUD,  GBP 14 m   , 0.65% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 16.63% ,16 August 2018,Distributing,Quarterly,Ireland,First Trust,+5.01%,-3.86%,-1.25%,-3.73%,+12.18%,+19.36%,+5.83%,+7.50%,-9.73%,+13.20%,+1.77%,+17.76%,16.63%,17.45%,19.46%,0.73,0.35,0.06,-10.15%,-23.10%,-36.56%,-36.56%, The First Trust Eurozone AlphaDEX UCITS ETF B Dist seeks to track the Nasdaq AlphaDEX® Eurozone index. The Nasdaq AlphaDEX® Eurozone index tracks companies from the eurozone. Constituents are selected and weighted using the AlphaDex method. The main factors are Growth and Value.      The ETF's TER (total expense ratio) amounts to 0.65% p.a..  The First Trust Eurozone AlphaDEX UCITS ETF B Dist is the cheapest ETF that tracks the Nasdaq AlphaDEX® Eurozone index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Quarterly).            The First Trust Eurozone AlphaDEX UCITS ETF B Dist is a very small ETF with 14m GBP assets under management.    The ETF was launched on 16 August 2018  and is domiciled in Ireland.  
LU1646360971,Lyxor Core MSCI EMU (DR) UCITS ETF - Dist,MFEX,  GBP 350 m   , 0.12% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 19.61% ,6 August 2003,Distributing,Semi annually,Luxembourg,Amundi ETF,+8.84%,-4.27%,-3.77%,-1.60%,+23.82%,+29.14%,+25.31%,+302.59%,-7.22%,+14.60%,+4.79%,+19.82%,19.61%,19.00%,20.09%,1.21,0.47,0.23,-9.23%,-22.03%,-31.79%,-48.68%, The Lyxor Core MSCI EMU (DR) UCITS ETF - Dist seeks to track the MSCI EMU index. The MSCI EMU index tracks large and mid cap stocks from countries in the European Economic and Monetary Union.      The ETF's TER (total expense ratio) amounts to 0.12% p.a..  The Lyxor Core MSCI EMU (DR) UCITS ETF - Dist is the cheapest ETF that tracks the MSCI EMU index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Semi annually).            The Lyxor Core MSCI EMU (DR) UCITS ETF - Dist has 350m GBP assets under management.    The ETF was launched on 6 August 2003  and is domiciled in Luxembourg.  
LU1681038839,Amundi Russell 2000 UCITS ETF USD,RS2G,  GBP 26 m   , 0.35% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,USD,Currency unhedged, 24.73% ,22 March 2018,Accumulating,-,Luxembourg,Amundi ETF,+0.14%,-4.66%,+1.29%,-6.40%,-9.12%,+26.23%,+14.42%,+125.91%,-11.17%,+15.75%,+15.61%,+21.19%,24.73%,24.29%,27.51%,-0.37,0.33,0.10,-17.06%,-24.62%,-37.17%,-37.17%, The Amundi Russell 2000 UCITS ETF USD seeks to track the Russell 2000® index. The Russell 2000® index tracks 2000 companies from the US small cap stocks.      The ETF's TER (total expense ratio) amounts to 0.35% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi Russell 2000 UCITS ETF USD is a small ETF with 26m GBP assets under management.    The ETF was launched on 22 March 2018  and is domiciled in Luxembourg.  
IE00BHZPHZ28,iShares MSCI EMU ESG Enhanced UCITS ETF EUR (Dist),EMUD,  GBP 107 m   , 0.12% p.a. , Physical (Optimized sampling) ,ETF,Long-only,EUR,Currency unhedged, 17.09% ,12 March 2019,Distributing,Semi annually,Ireland,iShares,+8.06%,-4.70%,-4.07%,-2.15%,+14.72%,+28.21%,-,+37.61%,-8.02%,+14.21%,+7.46%,-,17.09%,18.01%,-,0.86,0.48,-,-9.96%,-22.61%,-,-30.58%," The iShares MSCI EMU ESG Enhanced UCITS ETF EUR (Dist) seeks to track the MSCI EMU ESG Enhanced Focus index. The MSCI EMU ESG Enhanced Focus index tracks the largest companies listed in the European Union. The index is designed to maximize exposure to positive environmental, social and governance (ESG) factors while reducing the carbon equivalent exposure to carbon dioxide (CO2) and other greenhouse gases (GHG) as well as minimising their exposure to potential emissions risk of fossil fuel reserves.      The ETF's TER (total expense ratio) amounts to 0.12% p.a..  The iShares MSCI EMU ESG Enhanced UCITS ETF EUR (Dist) is the only ETF that tracks the MSCI EMU ESG Enhanced Focus index.   The ETF replicates the performance of the underlying index by sampling technique (buying a selection of the most relevant index constituents).    The dividends in the ETF  are distributed to the investors (Semi annually).            The iShares MSCI EMU ESG Enhanced UCITS ETF EUR (Dist) has 107m GBP assets under management.    The ETF was launched on 12 March 2019  and is domiciled in Ireland.  "
LU1931974429,Amundi Prime Eurozone UCITS ETF DR (D),PRIZ,  GBP 23 m   , 0.05% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 16.63% ,30 January 2019,Distributing,Annually,Luxembourg,Amundi ETF,+8.95%,-4.67%,-3.98%,-1.61%,+15.96%,+31.92%,-,+38.42%,-7.16%,+17.37%,+1.58%,-,16.63%,18.32%,-,0.96,0.53,-,-8.99%,-21.94%,-,-33.22%, The Amundi Prime Eurozone UCITS ETF DR (D) seeks to track the Solactive GBS Developed Markets Eurozone Large & Mid Cap index. The Solactive GBS Developed Markets Eurozone Large & Mid Cap index tracks large and mid cap securities from Eurozone countries.      The ETF's TER (total expense ratio) amounts to 0.05% p.a..  The Amundi Prime Eurozone UCITS ETF DR (D) is the only ETF that tracks the Solactive GBS Developed Markets Eurozone Large & Mid Cap index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Annually).            The Amundi Prime Eurozone UCITS ETF DR (D) is a small ETF with 23m GBP assets under management.    The ETF was launched on 30 January 2019  and is domiciled in Luxembourg.  
IE00BK5BQY34,Vanguard FTSE Developed Europe ex UK UCITS ETF (EUR) Accumulating,VERG,  GBP 272 m   , 0.10% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 15.61% ,23 July 2019,Accumulating,-,Ireland,Vanguard,+6.74%,-3.90%,-4.39%,-1.69%,+11.32%,+26.41%,-,+25.19%,-7.90%,+16.77%,+8.37%,-,15.61%,16.42%,-,0.72,0.49,-,-9.52%,-20.24%,-,-27.54%, The Vanguard FTSE Developed Europe ex UK UCITS ETF (EUR) Accumulating seeks to track the FTSE Developed Europe ex UK index. The FTSE Developed Europe ex UK index tracks large and mid cap stocks from developed countries in Europe excluding the UK.      The ETF's TER (total expense ratio) amounts to 0.10% p.a..  The Vanguard FTSE Developed Europe ex UK UCITS ETF (EUR) Accumulating is the cheapest ETF that tracks the FTSE Developed Europe ex UK index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Vanguard FTSE Developed Europe ex UK UCITS ETF (EUR) Accumulating has 272m GBP assets under management.    The ETF was launched on 23 July 2019  and is domiciled in Ireland.  
LU1280300853,UBS ETF (LU) MSCI EMU Socially Responsible UCITS ETF (hedged to GBP) A-dis,EUSR,  GBP 82 m   , 0.27% p.a. , Physical (Full replication) ,ETF,Long-only,GBP,Currency hedged, 16.61% ,30 April 2020,Distributing,Semi annually,Luxembourg,UBS ETF,+9.47%,-2.81%,-3.46%,-0.79%,+8.12%,+24.56%,-,+37.40%,-15.46%,+21.89%,-,-,16.61%,17.43%,-,0.49,0.44,-,-12.40%,-26.46%,-,-26.46%," The UBS ETF (LU) MSCI EMU Socially Responsible UCITS ETF (hedged to GBP) A-dis seeks to track the MSCI EMU SRI Low Carbon Select 5% Issuer Capped (GBP Hedged) index. The MSCI EMU SRI Low Carbon Select 5% Issuer Capped (GBP Hedged) index tracks eurozone equity market performance considering only companies with very high Environmental, Social and Governance (ESG) ratings relative to their sector peers, to ensure the inclusion of the best of class companies from an ESG perspective. The weight of each company is capped to 5%. Currency hedged to British Pound (GBP).      The ETF's TER (total expense ratio) amounts to 0.27% p.a..  The UBS ETF (LU) MSCI EMU Socially Responsible UCITS ETF (hedged to GBP) A-dis is the only ETF that tracks the MSCI EMU SRI Low Carbon Select 5% Issuer Capped (GBP Hedged) index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Semi annually).            The UBS ETF (LU) MSCI EMU Socially Responsible UCITS ETF (hedged to GBP) A-dis is a small ETF with 82m GBP assets under management.    The ETF was launched on 30 April 2020  and is domiciled in Luxembourg.  "
